标题： 大家好 我挖煤回来了 	 链接：http://tieba.baidu.com//p/5365154682 	 发帖人：makehistory6 	 发帖时间：10-10 	 回复数量： 6 
标题： 才子霍华德 	 链接：http://tieba.baidu.com//p/5296432418 	 发帖人：别让依靠成 	 发帖时间：8-29 	 回复数量： 1 
标题： 汁源贴。你说名。我帮忙 	 链接：http://tieba.baidu.com//p/5371347622?fid=1441624 	 发帖人：15046156257ee 	 发帖时间：07:22 	 回复数量： 1 
标题： 发现美剧里经常吃这种中餐. 	 链接：http://tieba.baidu.com//p/2152720674 	 发帖人：我是魔兽... 	 发帖时间：2013-02 	 回复数量： 97 
标题： 生活大爆炸。一到十一季。全。已出 	 链接：http://tieba.baidu.com//p/5371329039 	 发帖人：15046156257ee 	 发帖时间：06:52 	 回复数量： 1 
标题： 和飘着雨还是眺望的眼光真理 腾空了孤寂 的环境 	 链接：http://tieba.baidu.com//p/5371309880?fid=1441624 	 发帖人：s578753189 	 发帖时间：06:19 	 回复数量： 0 
标题： 拉杰的首次约会失败 	 链接：http://tieba.baidu.com//p/5299352467 	 发帖人：木头人大... 	 发帖时间：8-31 	 回复数量： 0 
标题： 各位大神们，谢耳朵用的是什么鼠标呀？ 	 链接：http://tieba.baidu.com//p/3683805939 	 发帖人：仙运岛者 	 发帖时间：2015-04 	 回复数量： 12 
标题： 姐无聊，找帥哥聊天..这是我们的舞台 	 链接：http://tieba.baidu.com//p/5371253610?fid=1441624 	 发帖人：卡通丶SG 	 发帖时间：04:17 	 回复数量： 0 
标题： 小谢尔顿就播了1集，昨天没更新，是不是被砍了？ 	 链接：http://tieba.baidu.com//p/5366376262 	 发帖人：Peiggy_II_Lue 	 发帖时间：10-11 	 回复数量： 19 
标题： 姐无聊，找帥哥聊天..我带你回忆曾经快乐的时空 	 链接：http://tieba.baidu.com//p/5371243992?fid=1441624 	 发帖人：望妞儿 	 发帖时间：03:57 	 回复数量： 0 
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。 	 链接：http://tieba.baidu.com//p/1467102489 	 发帖人：zhkjack 	 发帖时间：2014-02 	 回复数量： 37 
标题： 大家觉得生活大爆炸至今哪个片段最好笑? 	 链接：http://tieba.baidu.com//p/4390582638 	 发帖人：宅腐及上 	 发帖时间：2016-03 	 回复数量： 10 
标题： 现在是不是不让分享了？ 	 链接：http://tieba.baidu.com//p/5371224558 	 发帖人：知道配置叔 	 发帖时间：03:21 	 回复数量： 0 
标题： 《生活大爆炸》将迎来第十一季？ 	 链接：http://tieba.baidu.com//p/4725808140 	 发帖人：将轨 	 发帖时间：2016-08 	 回复数量： 233 
标题： ❤️【分享】生活大爆炸全季超清中英字幕 	 链接：http://tieba.baidu.com//p/5338379022 	 发帖人：娜娜吃肉肉_ 	 发帖时间：9-23 	 回复数量： 50 
标题： 【资源贴】生活大爆炸1-11季，中英字幕 	 链接：http://tieba.baidu.com//p/5370427957 	 发帖人：tx峰峰 	 发帖时间：10-13 	 回复数量： 5 
标题： 你们大学里都有人看生活大爆炸吗 	 链接：http://tieba.baidu.com//p/5370847419 	 发帖人：翔剑棋 	 发帖时间：10-13 	 回复数量： 1 
标题： 莫非只有我一个人觉得十一季没有以前好看了吗 	 链接：http://tieba.baidu.com//p/5367356100 	 发帖人：宇宙无敌... 	 发帖时间：10-12 	 回复数量： 5 
标题： 谢耳朵与莱纳冷战 	 链接：http://tieba.baidu.com//p/5298074130 	 发帖人：别让依靠成 	 发帖时间：8-30 	 回复数量： 0 
标题： 分享一个背四六级词汇的好方法 	 链接：http://tieba.baidu.com//p/5369699006 	 发帖人：幸运的心... 	 发帖时间：10-13 	 回复数量： 0 
标题： 【资原贴】生活大爆炸1-11季 中英字幕！ 	 链接：http://tieba.baidu.com//p/5368170849 	 发帖人：候幻翠 	 发帖时间：10-12 	 回复数量： 221 
标题： Raj是做了什么孽哦，又被编剧弄个大妈女友，儿子都19了 	 链接：http://tieba.baidu.com//p/4857671742 	 发帖人：China_YangXin 	 发帖时间：2016-11 	 回复数量： 14 
标题： 好嫩啊 	 链接：http://tieba.baidu.com//p/5314779555 	 发帖人：nymalin 	 发帖时间：9-9 	 回复数量： 17 
标题： 分享一个背四六级词汇的好方法 	 链接：http://tieba.baidu.com//p/5370723144 	 发帖人：year心影i 	 发帖时间：10-13 	 回复数量： 0 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量： 5405 
标题： 不得不看，真的爱，谢耳朵还给配音， 	 链接：http://tieba.baidu.com//p/5345126944 	 发帖人：花花草草... 	 发帖时间：9-27 	 回复数量： 34 
标题： 生活大爆炸是不是一般都是男人在看，很少有女人看的？ 	 链接：http://tieba.baidu.com//p/5363290168 	 发帖人：烟台胜利... 	 发帖时间：10-9 	 回复数量： 25 
标题： 请问一下有没有霍华德的搞笑锦集 不知道是不是搜索姿势不对 	 链接：http://tieba.baidu.com//p/5370150655 	 发帖人：hjkguyuehu 	 发帖时间：10-13 	 回复数量： 0 
标题： 活暖炉被喷哦 没虐它 	 链接：http://tieba.baidu.com//p/5370014090?fid=1441624 	 发帖人：聚米总代... 	 发帖时间：10-13 	 回复数量： 1 
标题： 生活大爆炸越来越难看了 	 链接：http://tieba.baidu.com//p/5366134186 	 发帖人：djsj 	 发帖时间：10-11 	 回复数量： 3 
标题： 虐脸大法教你如何优雅的瘦脸 	 链接：http://tieba.baidu.com//p/5364455464 	 发帖人：付生纪念b... 	 发帖时间：10-10 	 回复数量： 1 
标题： 嘿！大家觉得大爆炸里【最能体现友谊】的是哪一集哪个故事呀！ 	 链接：http://tieba.baidu.com//p/2925139452 	 发帖人：别戳我心坎 	 发帖时间：2014-03 	 回复数量： 17 
标题： 蝙蝠侠来谢耳朵家串门了~ 	 链接：http://tieba.baidu.com//p/5366899779 	 发帖人：耳朵Moonpie 	 发帖时间：10-11 	 回复数量： 3 
标题： 你印象中谢耳朵最经典的台词是哪句? 	 链接：http://tieba.baidu.com//p/4443763695 	 发帖人：a1026065224 	 发帖时间：2016-03 	 回复数量： 11 
标题： 谢尔顿太可爱了，逗 	 链接：http://tieba.baidu.com//p/5366180344 	 发帖人：dfsre天蝎 	 发帖时间：10-11 	 回复数量： 2 
标题： 现在贴吧里是出现sm宣传了吗？怎么举报？ 	 链接：http://tieba.baidu.com//p/5367675143 	 发帖人：馨馨先前 	 发帖时间：10-12 	 回复数量： 0 
标题： 《生活大爆炸第11季》第二集录屏 	 链接：http://tieba.baidu.com//p/5356183549 	 发帖人：金大胖DGJTF 	 发帖时间：10-5 	 回复数量： 0 
标题： 看到这一幕，瞬间兴奋到极点。 	 链接：http://tieba.baidu.com//p/4170689523 	 发帖人：Ghos 	 发帖时间：2015-11 	 回复数量： 44 
标题： 潘妮越长越差，小妖精倒是越来越漂亮了 	 链接：http://tieba.baidu.com//p/5369571960 	 发帖人：乂成天笑 	 发帖时间：10-13 	 回复数量： 0 
标题： 请问谢尔顿说选择美剧很重要是在哪集啊？ 	 链接：http://tieba.baidu.com//p/5369546794 	 发帖人：人走茶糜 	 发帖时间：10-13 	 回复数量： 0 
标题： 求谢耳朵和伯妮的爸爸讨论棒球是哪一集 	 链接：http://tieba.baidu.com//p/5364545596 	 发帖人：溜2013 	 发帖时间：10-10 	 回复数量： 5 
标题： 求生活大爆炸 第五季，最后一集，在霍华德婚礼上，谢耳朵的致辞 	 链接：http://tieba.baidu.com//p/3139894151 	 发帖人：海贼帝妮... 	 发帖时间：2014-07 	 回复数量： 5 
标题： 约国庆想一起的 	 链接：http://tieba.baidu.com//p/5339757187?fid=1441624 	 发帖人：会樊 	 发帖时间：9-24 	 回复数量： 6 
标题： 找一集！！！在线等！！谢耳朵艾米分手！！ 	 链接：http://tieba.baidu.com//p/4435089776 	 发帖人：叮叮叮煤球 	 发帖时间：2016-03 	 回复数量： 10 
标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1... 	 发帖时间：2014-03 	 回复数量： 29967 
标题： 【整理】唱歌片段笑cry 搬运 	 链接：http://tieba.baidu.com//p/5297920024 	 发帖人：wowwow9816450 	 发帖时间：8-30 	 回复数量： 0 
标题： 如果我是lenard，我就和她在一起了 	 链接：http://tieba.baidu.com//p/5251175938 	 发帖人：逗比咬人 	 发帖时间：7-31 	 回复数量： 26 
标题： 不知道是不是只有我无聊的时候会翻来覆去的看每一季！ 	 链接：http://tieba.baidu.com//p/5334648333 	 发帖人：旋转烟花 	 发帖时间：9-21 	 回复数量： 73 
标题： 大爆炸目录 	 链接：http://tieba.baidu.com//p/4757363202 	 发帖人：Kredom 	 发帖时间：2016-08 	 回复数量： 83 
标题： 当女朋友扮成公主，只有谢耳朵最淡定 	 链接：http://tieba.baidu.com//p/5259753049 	 发帖人：中国式半仙 	 发帖时间：8-6 	 回复数量： 10 
标题： 佩妮把谢耳朵弄哭了 	 链接：http://tieba.baidu.com//p/5284499802 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 9 
标题： 生活大爆炸，史上第一个彩蛋。 	 链接：http://tieba.baidu.com//p/5284920269 	 发帖人：冰缘瑞雪... 	 发帖时间：8-22 	 回复数量： 7 
标题： 金毛宝宝奶声奶气的问------你瞅啥 	 链接：http://tieba.baidu.com//p/5368475617 	 发帖人：流年一如... 	 发帖时间：10-12 	 回复数量： 0 
